,title
289,"История короткая, но поучительная."
290,"Ехал как-то в пустом трамвайчике, сижу, никого не трогаю."
291,Заходит (кто? подумали бы вы) девушка лет 19-20
292,"Как обычно наушники, очки-забрало на пол еблища, под ними слой грима, одета в модную тенниску (футбольные фанаты такие любят), кепку в полоску, ну в-общем типичная московская быдлячка. Садится спереди меня, я не обращая внимания продолжаю читать книгу."
293,"И тут я почувствовал ЭТО! Просто нестерпимый ебанистический запах, этакая смесь тухлых яиц, вонючей жопы и дешевого парфюма. Как человек приличный, попытался не обратить внимания, но эта ебздула пустила шептун повторно, и сидит, в хуй не дует, ей заебись."
294,"Ну тут я уже не сдержался и пересел в конец. Продолжаю читать, смотрю эта пизда повернулась, посмотрела на меня такими глазами, будто бы это сделал я, промямлила что-то про себя и отвернулась. На следующей остановке зашла женщина лет 50, села напротив этой молодой залупы, и моментально учуяла этот непередаваемый запах, наморщила нос. И тут эта хуйня снимает наушники, наклоняется к ней поближе, и начниает что-то ей там пиздеть, кивая башкой в мою сторону. Я сразу же понял в чем дело. Близится моя остановка, я прохожу мимо девку, и тут резко машинально бью ей ладонью по ебальнику, очки слетают, никто ничего не может понять. Я за секунду вылетел из трамвая и поспешил по делам."
295,Так этой манде и надо.
296,А мораль - нехуй клеветать на добропорядочных людей.
297,"Поведаю тогда и свою прохладную. Лужи крови не обещаю к сожалению, или к счастью - это ж уголовно наказуемо. Вообще, конечно я считаю, что девушек бить некрасиво и низко, но сам понимаю, что в душе хочу этого."
298,"Когда я учился в школе, классе в пятом, была у нас в классе одна пизда, всем своим видом и дешёвыми понтами внушавшая отвращение. Класс вообще у нас был хороший, девчонки все были порядочные и неглупые. И вот на их фоне эта малолетняя блядина. Никого я так не ненавидел, как её, за развязную манеру поведения и длинный язык. Внешне же она не представляла ничего привлекательного: обесцвеченные немытые волосы, противно отросшие и тёмные у корней, плоское татарское личико, ростом низенькая, с широкими бёдрами и толстыми ляжками сейчас, насколько я знаю выросла и стала сферической жирухой. Я же рос мальчиком скромным и стеснительным, особых унижений не знал..."
299,"Случилось Это осенью, когда классы выгоняли после уроков на уборку листьев в школьном дворе. Комнатка с содовым инвентарём: беспорядочно накиданными мётлами, граблями, лопатами была тесная и тёмная. Когда мы все набросились разбирать инструмент случилась вполне ожидаемая давка. Как только мы всем классом выбрались из каморки на свет божий, пизда осознала, что в давке порвала колготки. Уж не знаю, как и чем она это сделала, я с граблями стоял вообще в другом конце комнаты, именно на меня ей захотелось свалить всю вину. Конечно, я же самый тихий мальчик в классе, я и отнекиваться наверно долго не буду... Но я, конечно, отнекиваться стал и эта шмара продолжала поливать меня сочными ругательствами, мол, ты неудачник и не пацан вообще, даже юбку чуть ли не до трусов задирала, демонстрируя ту самую дырку в колготках... Надо сказать вначале я вообще прихуел, что слёзы начали наворачиваться: какая-то блядина меня опускает перед всем классом! А потом настал какой-то момент и меня переклинло. Я вдруг посмотрел на неё и подумал: я знаю, что я прав, а она это делает, чтобы издеваться надо мной и получает с этого удовольствие. Схватил её за плечо, толкнул и выкрикнул ""Уёбывай отсюда, сука!"", но это её только раззадорило. Она стала выкрикивать ""Ну, что, сосунок, будешь драться с девушкой?"". И тут у меня проскользнула мысль ""Нет, не драться, я просто тебе как следует вломлю"" . Размахнулся ногой и силой пнул сучку в живот или даже куда-то ниже. Она отлетела к стене и стала корчиться от боли, притягивая ноги к животу. Такого расклада она, надо сказать, совершенно не ожидала. Я подошёл к ней, лежащей на полу, она как-то пыталась отползти и упёрлась в стену. Зачем-то я схватил её за волосы и с силой дёрнул вверх (типо подымайся). Я увидел её глаза. Она не плакала, но на лице был какой-то животный страх и покорность - и в этот момент я почувствовал глубокое моральное удовлетворение. Больше её не бил. Когда прибежали две училки, ""разнимать драку"", я уже просто стоял и ней рядом, а пизда сотрясалась от подступающих рыданий, лёжа на полу. Надо добавить, что всё это время за нами наблюдала добрая половина девчонок нашего класса, но они все боялись подойти и самим разнимать нас, тем более что само ББПЕ я осуществил быстро. После того случая меня долго отчитывали училки и директор, водили к психологу, какой-то тётке в ментовской форме, вызывали родителей, назначили мыть полы целый месяц. Одноклассники больше никогда не считали меня своим, но травить боялись, думали наверно, что я чёртов псих. Вот так. Но я все последствия спокойно перенёс. Я был доволен, я отомстил"
300,"А я был девственником, когда поступал в институт, но однажды все изменилось..."
301,"Представьте себе омегу(не сильно,но омегу), у которого были отношения(и на тот момент тоже) но его они сильно расстраивали. Не буду вдаваться в детали, да это и не важнобывшую бросил я лол"
302,"Придя в институт я думал о том, как много красивых девушек вокруг, о том, сколько интересных людей, о том как все изменится в институте, о том, что у меня появятся друзья, ведь мне рассказывали, что институтские друзья на всю жизнь. Как бы не так, дорогой анон, я хоть и смешил всех своими идиотскими шуткаминекоторые хорошие, некоторые с долей петросянства, а кто из нас никогда не петросянил? это мне не помогло сойтись с группой. Тогда я мог выпить пивка на лавочке с быдлогрупниками(чего стесняться, я и сейчас могу) но все это было немного не моё, темы для разговора не исчерпывались, но мне не всегда нравилось обсуждать ""друзей друзей моих друзей"", поэтому я был достаточно быстро изгнан из кружков по интересам, которые к тому моменту успели уже сложиться.лирическое отступление"
303,"Со временем я понял, что в группе есть всего 2 человека с которыми можно общаться, а на курсе - 5"
304,Но я не терял надежды.
305,"Параллельно с этим, я, с самого первого дня(а может и не первого, кто сейчас скажет) пытался найти себе пару, и я довольно быстро ее нашёл. Кто - то скажет, что она не красивая, но для меня она самая красивая девушка на свете, маленькая, милая, добраяи далеко не тп, как в такую не влюбиться? Я влюбился."
306,"Помимо меня на нее претендовали еще 7 человек, но моя искренность ее тронула и она дала мне шанс. Сначала это было кино, потом просто прогулки, до дома провожал, а потом и начал ездить с самого утра к ней, в другой конец Москвы, чтобы только побыть побольше времени наедине. Я ей писал, что люблю ее, а она просто отшучивалась, но вот, настал мой день рожденья. Сказать что это не праздник для меня - ничего не сказать. Я не то чтобы не люблю этот день, я просто не считаю его праздником, для меня это просто очередные 24 часа в очередных 7 днях, и не больше. Но именно тогда я решил сделать исключение, я решил отпраздноватьвсе ради нее же в большой компании."
307,Я выбрал ресторан и позвал ее и еще 2х друзей с универа(которые уже начали встречаться)
308,"В день рожденья я как всегда приехал к ней с утра, чтобы отвезти ее в универ(на метро конечно же, я же простой студент), а накануне она сказала, что приготовила кое - что особенное для меня, я был в нетерпении. Приехав я стал ждать, время тянулось очень медленно и я успел прочитать ""Метро""газету когда я уже ходил по станции от скуки, она меня окликнула. Я подошел, чтобы как всегда взять ее сумку, а она прижалась ко мне и поцеловала меня. Это был самый волшебный и незабываемый поцелуй, такое наверное бывает только раз в жизни. Я оробел, но через пару минута может быть секунд, время тянулось очень медленно я обнял ее. Я был счастлив. Я счастлив и сейчас, и пишу это с улыбкой и теплом в душе."
309,"Когда мы начали встречаться(произошло это уже через 4 дня после поцелуя на день рожденья) я стал делиться с ней абсолютно всем, как и она со мной. Оказалось, я ей давно нравилсяне знаю за что и она поверила в мою искренность и полюбила меня."
310,"Через пару месяцев мы поняли, что безумно хотим друг друга и наш первый раз(она тоже была девственницой) был волшебен и восхитителен. Ей не было больно, так как она была возбуждена и хотела этого не меньше чем я, и мы утопали друг в друге. Ее стройное тело, нежная кожа и шея, все возбуждало, но больше всего возбуждало и сводило с ума, то, что она меня так же любит и хочет."
311,"Каждый наш секс это что то волшебное, что то таинственное, каждый раз это счастье и море ласк, удовольствия и страсти."
312,"Со временем я отдалился от группы в частности и от курса в общем. Я общаюсь с 4мя людьми, все остальное время посвящаю любимой и ничуть не жалею, что сложилось все именно так, а не иначе."
313,"Иногда, когда я себя спрашиваю: ""Не хотел бы ты изменить что нибудь в своей прошлой жизни?"", я понимаю, что не хотел бы, ведь если бы я что то изменил, была бы вероятность, что я никогда не встретился бы со своей любимой, что я никогда бы не познал с ней настоящего счастья."
314,"И теперь, анон, прочитав все это, подумай, а стоит ли идти к проститутке, или к простой дурочке чтобы просто лишиться девственности, или может стоит немного подождать, чтобы первый раз был волшебен и незабываем, чтобы помнить о нём всю свою оставшуюся жизнь."
315,"Дело было когда мне было лет двенадцать. Мы, как обычно, с соседскими пацанами занимались всякой мальчишеской хуитой, которой занимался каждый в этом возрасте. И возле нас стали виться две пиздюшки. Они начали обзывать нас, задирать. Сначала мы просто посылали их нахуй, но потом это заебало и я ебнул одну из них по спине. Не сильно, но крепко. Так эта сука разревелась на весь двор, а неподалеку шел с работы мой БАТЯ. Он увидел все это дерьмо, подошел к нам, спросил что случилось. Так эта пизда начала заливать про то какой я плохой, как я ей со всей дури переебал по хребту ни за что. Пацаны, которые со мной были, начали уличать её во лжи, говорить что они приебались к нашей компании и начали по всякому оскорблять. Отец прописал мне затрещину и заставил идти домой. Дома мне прополаскали мозги на тему ""бить девочек - плохо"". Я не понимал: схуяли, если они так себя ведут? Получил еще пиздюлей от отца. Но этим же вечером он извинился и купил мне много мороженого. Такие дела.""Женщины- слабый пол"" Кто это сказал ? Если девушка ведет себя не достойно, то с ней просто нормальные люди не будут общаться. Если вы себя щитаете не прикосновенными, то у вас мания величия, и вам действительно надо дать пару уроков. Как относитесь к другим, так относятся и к вам. Даже если вас ударил парень, на то у него были свои причины, вы же, не станете искать эту причину, а просто обидетесь и перестанете с ним общаться. На что есть один ответ - эгоизм. Вы думаете о только о себе и о своей выгоде, другое вас не интересует, и вы больше не уважаете тех людей, кто видители вас ударил. Скорее вам надо задуматься - что я сделала не так, или что не сделала чего-то так ? Вы живете в обществе, и надо находить с ним гормонию. Не можете ? Ищите проблему в себе, и не надо навешивать на всех ярлыки. Удачи вам в ваших взаимопониманиях."
316,"Живет у меня в подъезде одна няша. И было мне лет, значит, 15, а тян этой лет 13-14. Вышел я за хлебушком(дада, мама послала). А эта тян все время пыталась меня достать. Помню был дождь сильный и она в подъезде играла в карты с подругами. А я живу на втором этаже и играли они между первым и втором. Выходил, она мне что-то ляпнула, типа ""аккуратней обходи, уебок"". Ну я смолчал. Думаю ну тебя нахуй. Но когда возвращался она опять меня подъебнула типа ""жиробас не человек"". Ну я был вынужден прописать ей в голову. Ударил ее с кулака куда-то в область виска. Она уебалась прямо в подъездную ссанину и начала плакать. После этого она прекратила на пару лет свои задрочки. Но потом история продолжилась когда мне было лет 17. Шел я летом домой с тренировки(кик-боксинг, анончик) уставший и заебавшийся. А она с подругами сидела у детско песочницы на скамеечке. И начала опять на меня травить хуету. Ну я таки не сдержался, подошел, уронил ее на землю и заставил жрать песочек. Ей пришлось жевать. Рядом беседка, где деды играют в домино и ко мне с криком ""уебу, сука, не бей девушек"" сорвался старпер. Но он был тщедушным старым пердуном, а я молодой и на то время уже тренированый ублюдок, поэтому деду я тоже вынужден был прописать. Потом за мной погнались все деды и я ретировался. Но тян эта больше не залупалась, а потом мы с ней начали общаться и да, я ее развел на еблю в пердачелло. А сейчас она бухает в подъезде у меня и встрчается с говнорапером."
317,"Это было летом, помню хорошо тот вечер. Я приехал в военные городок, где служил и жил мой дедушка и где же у него была квартира. В этом доме ещё жил мой знакомый паренёк, с которым мы в ту пору тольуо начали общаться. Ну что нам было делать в семь-то лет? Конечно топить муравьёв в слюнях хах. За этом занятием наш и нашли дворовые девки. Примерно нашего возраста, вроде как человек 5 или три. Одна из них, которая была там типа лидир, была дочка местно шайтана-преступника, типа из криминальной семейки. Повадки, то есть, у неё были соответствующие. Как мне кажется сейчас, она типа решила до нас доебаться, потому что считала, что так положено ей делать. Ну типа дочь своего отца. Сначала она ""предъявила"" нам за бедненьких муравьишек. Потом перешла на личности. А мне она не доставляла ещё с давних пор, ещё тогода, когда я жил в этом городке и видел её домтаточно часто. Она у меня, короче, ассоциировалась с хуёвым куском мира. Но до этого момента я ей ничего не делал, поскольку вообще драться боялся. Ну типа вообще, драка вызывала страх."
318,"Но не в тот вечер. Я не сильно помню, как, но я таки расквасил ей носопыр с одного удара. Эт пиздец, как на поменялась, прямо в мановение ока она стала похожа на нормальную девочку, обиженную хулиганом. Не знаю, что там было потом с ней, но я попрощался с итпом и двинул домой. Мне было как то похую н анеё, я знал, что уеду через какие-то часы. А вот дедуля, которому я выложил кулстори, заставил меня идти и просить прощения. Ну хули, для деда такой-то хуйни не сделать :3 Мы с ним нашли эту девочку, и я типа попросил извинименя и вся такая хуйня. Естественно, не от души. Пиздец, Б, я не ожидал, что почувствую себя настолько пиздато при виде её унывшего еблета. Она была реально подавлена."
319,"Двач, я тут подумал, все ноют о том, что у них нет тян, у меня тоже нет, одновременно все кричат, что и нахуй не надо. Но все, чуть замаячит на горизонте что-то, тут же создают тред и просят помочm анона не упустить свое счастье, потом опять же ноют, что много времени занимает, что правая рука гораздо лучшепо-любому тролли и девственники, я тоже. И я решил спросить себя, какая же должна быть тян, чтобы быть постоянно вместе было счастьем. Она должна быть ну, тут идет описание внешности, у каждого свой вариант, нет смысла описывать свой и самое главное, она должна быть ВООБРАЖАЕМОЙ. Да, именно воображаемой, галлюцинацией идеальный вариант, ты её видишь, слышишь, может быть даже чувствуешь, она выглядит как твоя мечта, говорит, то что тебе нравится, иногда спорит, но она не будет рассказывать тебе про Дом2, т.к. ты сам про него ничего не знаешь очень надеюсь не будет этой противной бытовухи, кто готовит, кто выносит мусор, кто не поднимает очко за собой, она всегда будет рядом, ей не надо работать, есть, ей наплевать на твой внешний вид, её не надо водить в кафе и рестораны, ты же хикке, надеюсь, хотя... дватиреч уже не тот тебе это в тягость, она всегда поймет, ты счастлив будешь уже, лишь смотря на неё, она же выглядит как твоя богиня. То что её на самом деле нет, разве имеет значение, если ты её увидишь и слышишь, мнение окружающих тебя не касается, если у тебя есть ОНА, вам наплевать на весь остальной мир, да и какой мир, твой мир это компьютер, ты можешь стоять на остановке и разговаривать с ней, шутить, смеяться, тебя считают психом, но какая разница, главное, что она так не считает, вместе смотреть кино вечерком, обсуждать книжку, гулять по лесу, делать то что нравится тебе и ей естественно, у неё будут и некоторые несогласия с тобой, она же не рабыня, но это пустяки."
320,"Но, заболеть шизофренией и прописать себе нужную и стабильную галлюцинацию, на сколько я знаю, невозможно, так что, это все мечты и только, но какие приятные."
321,"Дорогие анонимусы, на дваче и на других чанах, в том числе иноязычных, мне регулярно попадаются фотографии детей с болезнью Дауна, типа как на пикрелейтед. Наверное, вы считаете, что это очень смешно. Возможно, я и сам бы так считал, если бы не одно «но»: сразу после моего рождения мне поставили этот диагноз – болезнь Дауна."
322,"То, что происходило потом, можно даже считать везением. Во-первых, родители от меня не отказались. Во-вторых, долго и упорно занимались со мной, возили по разным врачам, коррекционным педагогам и т.п. Какие плоды это принесло? В отличие от большинства людей с моей болезнью, я обладаю нормальным интеллектом, хотя и испытываю определённые трудности с быстротой реакции, с говорением. На письме же и вовсе схожу за полноценного человека. Один врач сказал, что тут дело даже не в тренировках, а в моей хорошей наследственности (смешно, да?), мол, если бы не моя лишняя хромосома, то я был бы вообще Эйнштейном."
323,"Сомневаюсь в последнем, но, так или иначе, я смог освоить курс средней школы, хотя обучался по большей части дома. Потом поступил в гуманитарный вуз, точнее – в языковой. Языки мне всегда неплохо давались. Здешняя среда меня приняла хорошо; у меня появились даже друзья – молодые, здоровые люди. Они искренне пытаются обращаться со мной как с равным, хотя я и вижу, что им это тяжело даётся."
324,"Моя жизнь стала приобретать очертания. Появилось дело, которое может стать делом всей жизни, филология. Я могу зарабатывать переводами, пусть и мало. Другие Дауны не могут и этого: в этой стране, как и многие другие инвалиды, они сидят безвылазно по квартирам и живут на мизерную пенсию."
325,"И всё же не проходит и дня, чтобы я не проклинал бога и судьбу за то, что сделали меня таким. Будь у меня обычный для Дауна интеллект, я бы, наверное, переживал всё это проще. Но мне «повезло», и поэтому моя жизнь, друзья, это ад."
326,"И ещё, двач, есть одна тян. Учится со мной на одном курсе. С некоторых пор мы стали проводить много времени вместе. Это, наверное, первый человек, который относится ко мне без снисхождения, как к равному, и для меня это особенно ценно. И в отличие от вас, битардов, полноценных ничтожеств с комплексом неполноценности, я знаю, что нужно делать. Я очень её люблю, я умер бы за неё. И вот именно поэтому я никогда не скажу ей об этом. Потому что желаю ей счастья."
327,"Сап абурач, хочу просто рассказать что случилось со мной примерно час назад, у меня час назад была девушка (в смысле ТНЯ), она пришла ко мне и мы собирались провести весь этот ненастный день вместе,на улице страшная непогода и по тому прогулка была исключена. Но характер у нее так себе (капризная маленькая девочка) так что мы как это было регулярно поссорились, в ходе ссоры она начала решила сделать мне больно ,и начала говорить то чего на самом деле не было (я надеюсь иначе моя самооценка которая и так не на высоте упадет ниже плинтуса) но то чего я страшно боялся, это то что мои подарки были говно, что она смеялась надо мной при их получении, как и ее друзья узнав об этом тоже не могли сдержать нахальную усмешку, она говорила о том что постоянно врала мне и я вспылил, очень и очень сильно вспылил, заломив ей руку я выкинул ее из моей квартиры вместе со всеми подарками, которые она делала за почти год наших отношений, она смеясь забрала их и напоследок решила кольнуть по самому больному, она позвонила в домофон и когда я взял трубку сказала что мало того что изменила мне так и то что ОН трахался лучше, и тут во мне умер парень и родился мужик, моя глаза налились слезами и кровью, и я выскочил в одних штанах во двор, догнал ее и как следует отпиздил, при чем бил от души куда попало, напоследок добивая ногами, она обещала мне расправу в виду похорон за городом, в братской могиле со всеми моими друзьями, но знаете я ее не боюсь как и ее выблядков друзей, я просто понимаю что у нас с ней все кончено, и что у меня как ни странно РАЗБИТО будет ебало сердце.И пишу то это просто по тому что рассказать мне больше не кому. Прошу тебя адекватный анон просто по говори со мной."
328,"Мы с поцыками хикки ебта. Сидим дома по выходным, особенно зимой. Общества баимся. Когда менты подваливают на улице, еле пару слов можем связать. Но сидеть дома постоянно не получается, вот вчера вышел за сигаретами, ебта, коляна встретил, давно не виделись, посидели шишек покурили, певком отполировали. Пошли потом отжали у каких то лохов мобилки, блядь, это было охуенно. Потом встретили корешей, пошли в кафе, забухали, склеили телок бухаем с ними, тут какие то социебы пристают, закурить просят. Я говорю - мы ж хикке блеадь, у нас и руки трясутся от контактов с обществом, колян весь покраснел и дар речи аж потерял. Хули вы к нам привязались, вы сами с какова района ваще? Короче дали им профилактических фанер в ебло. Тут знакомые кореши подъехали на своих фордах, ну хули, подвезли нас до дома, наши то тачки в ремонте ща. Ну дальше хикковали всей тусой, всю ночь, пока соседи козлы милицию не вызывали. Всю малину обломали, телки эти даже нам дать не успели. Так и останемся наверно девственниками. Чо думаешь, есть у нас еще шансы в этой жизни или все проебали? Вы это тут обмозгуйте нашу пасту пока, а мы ща еще за водкой сбегаем.Завтра вставать рано но работу на завод, там прочтем ответы, бля буду."
329,"Двач, наверное пришло то самое время – поделиться с тобой своим сокровенным… Своим проклятием. Своим пороком. Читаю я тебя давно – примерно с осени 2008 года, точно и не вспомнить."
330,"Всё это время ты играл для меня своеобразную роль, но об этом ниже. Выслушай же историю, двачик, историю моей жизни."
331,"Отголоски с детства, когда это всё лишь начиналось. Помнится школьное помещение, нас строят в ряд повторять какую-то песенку перед выступлением. Это жжение в горле, ненавистное произношение слов… И как сдавит голову… Голос издевательски твердит: «скажи что пёрднешь в рот, скажи что пёрднешь в рот!!» Я прокричал это в слух раз десять. После этого родителей в школу, первый поход к детскому психиатру, много слёз. Я пытался объяснить, что не по своей воле истерически орал этот бред, но мама не воспринимала меня. После этого я долгое время не общался с людьми. Очень долгое."
332,"Переезд, гимназия, я стою у двери новой классной комнаты, за которой меня ждёт совершенно незнакомый коллектив. Захожу – ребята улыбаются, девченки хихикают и переговариваются. Я сажусь на свободное место к славной девчушке, которая улыбчиво произнесла «привет»… Этот день определил всё мое дальнейшее пребывание в этом месте: парни помогли освоиться, с удовольствием рассказывая как здесь учится, вместе с парочкой шутливых легенд про учителей. А с сопартницей мы быстро сдружились, как, в принципе, и со всеми."
333,"6й класс, провожал домой со школы, встречал утром, первый поход на каток зимой того же года. И тот первый, незабываемый поцелуй, когда я сквозь свитер чувствовал, как бьется её сердечко, нежно обняв её."
334,"Перед каникулами организовали школьное празднование Нового Года. Пришли и родители: мои и одноклассников: кто-то из них даже переоделся дедом морозом, дабы соответствовать празднеству. Были конкурсы, всем было весело, в том числе и мне. Я наелся бананов, подзабыв, что у меня от них частенько случается расстройство желудка. Попучило и вроде обошлось. Но как только музыка сменилась на медленную, в преддверии второго в моей жизни танца с девушкой, я достаточно сильно разнервничался, что дало порыв к боли в животе, наряду с бананами. Я пошел в туалет, замкнул на выдвижной замок кабинку, снял штаны… И вечно знакомое, проклятое с того самого первого дня, чувство вновь настигла меня: голову сжимает, в правом виске пульсирует легкая боль, и этот голос: «Думаешь они не волнуются?? Думаешь они кем то себя возомнили?? Вроде нормальный человек не может обосраться??? Ну так докажи же им обратное!!! Ко-ко-ко-ко-ко!!!!!». С непрекращающимся кудахтаньем я сидел и выл в закрытой кабинке, штаны были вымазаны в жидкий понос, а боль ни на секунду не оставляла меня. Я не выдержал. Взвыв, я полез руками в очко, пытаясь зачерпнуть в ладошки как можно больше дерьма. Вымазал все голые участки кожи, в первую очередь лицо. Челюсть, ко всему этому, свело, и часть дерьма просто стекла в рот. Я забивал дерьмом уши, ноздри, карманы моего детского костюма. Я был безвозмездно покрыт жидкой подливой с ног до головы и орал. Кудахтанье лишь долбонуло еще громче. Я, набрав в руки еще больше говна, распахнул дверь и побежал в класс. Я всей своей невинной детсткой душой пытался остановиться, но сдержать этот порок было невозможно. Я вбежал в класс весь обмазанный дерьмом вскинул руки вверх и взвыл, орал, кукожился на месте, корчил гримасы. Содержимое моих рук метнул в деда мороза и маму. Сердце билось с такой силой, что каждый удар отдавался импульсом в голову. Я начал кудахтать и изображать курицу, родители разобрали своих детей и с ужасом и страхом наблюдали за ненормальным ребенком. Я жутко испугался внтури себя, когда начались зрительные образы катка, ее запаха, прогулок осенью. Я вылупился на неё, взвыл, и бросился. Схватил обоими руками её аккуратную голову начал лизать в глазницы выпучив свои глаза. Вся в жидком вонючем говне, она кричала и плакала, её отец вцепился в меня сзади, но было тщетно, я демонически пищал и вылизывал ей ноздри, наполняя их калом."
