,title
72,"Беседуют два приятеля: 
- А я вот читал у одного антрополога, будто Бог женщину вовсе не из ребра Адама сотворил. Это только ради приличия говорят, что из ребра, мол. Рёбра то у нас все на месте, хоть справа, хоть слева. Не веришь - можешь пересчитать. В мужском организме есть только один единственный орган без кости... 
- Язык? 
- Нет. Язык - это орган внутренний, он во рту находится. 
- А что же тогда? Ухо? 
- В ухе имеется хрящ. И потом: уши-то и у баб есть. 
- Гос-споди, Боже мой!.. Неужели?!.. 
- Вот именно. И сразу всё становится на свои места. Думали, почему он так себя ведёт, орган-то? А мы почему так себя ведём? Это всё тоска по утраченной косточке, понял?"
73,"Девушка в аптеке никак не может выбрать презерватив. Она спрашивает у продавца: 
- А вы не подскажете, какой вот лучше купить? 
Сзади из очереди мужской голос: 
- Зима на дворе! Бери с шипами!"
74,"Один фермер пришел в гости к другому. 
— А почему у тебя петух в штанах ходит? 
— Да жена нечаянно вылила на него кипяток, вот ж@па и облезла, а чтобы он не мерз, пошили ему штанцы... 
— Он что, до сих пор не оброс? 
— Перья выросли, но так прикольно смотреть, как он одной лапой курицу держит, а другой штаны снимает!"
75,"Пошли три охотника на охоту, у двоих с собой была водка, а у ретьего не было. Ну он и говорит мужикам: ""Вы завязываете мне глаза, даете любую дичь, а я угдываю кто это, возраст и чем убита. Если угадаю, вы мне наливаете стакан водки..."" Дают ему зайца. Он пощупал и 
говорит: ""Заяц, возраст 5 лет, убит ножом"". Налили стакан. Дают лису. Он пощупал и говорит: ""Лиса бурая, возраст 10 лет, убита винтковкой"". Налили стакан. Дают Кабана. Он пощупал и говорит: ""Кабан дикий, возраст 15 лет, убит с ружья!"". Так продолжалось всю охоту... Утром встречаются ихние жены. Первая говорит: ""Бабоньки представьте, муж ушел на охоту с водкой, пришел без водки и трезвый"". Вторая говорит: ""У меня тоже самое"". Третья говорит: ""Вы представляете, мой ушел без водки, пришел пьяный в 
жопу, всю ночь щупал меня между ног и бормотал: ""Ёж, 42 года, убит топором в спину""..."
76,"Вечер. Гуляют парень с девчонкой-романтика! 
Вдруг ему не по детски захотелось ср@ть!!!!!!!!!! 
— Тебе наверное пора домой, мама волнуется. 
— Да, проводи меня, пожалуйста, уже темно, страшно! 
Он краснея (ну очень хочется..): 
— Давай, только побыстрее. 
Доходят до подъезда, он собирается прощаться. 
— Сережа, у нас в подъезде хулиганы лампочку разбили, мне страшно одной подниматься!!! 
Бляяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяя!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
У него уже процесс начинается, боль адская! Подходят к лифту — не работает. Суууууууууууууууукааааааааааааааа!!!!!!10 этаж. 
Только поднимаются мама открывает дверь: 
— О! Сереженька, заходи — чайку попьем! 
— Спасибо, Тамара Ивановна, но Я тороплюсь — мама волнуется. 
— Да ладно, Я ей позвоню, предупрежу что ты у нас. 
Думает — ну ладно хоть у них п#сру. 
Только заходят, маман сама в сортир шмыг! 
Думает — ну все п#здец щас прям тут навалю. 
— Сереженька, Я пойду чайник поставлю, а ты пока в комнату проходи. Там собака лежит, 
ты дверь приоткрой аккуратно чтобы ее не ударить, свет включи и подожди меня. Я быстро. 
Думает — выхода нет — придется на собаку свалить. Снимает брюки, серит прям на ковер. Заходит телка с подносом. Принюхивается. 
— Сереженька, тебе не кажется что здесь неприятно пахнет? 
— Еще как кажется — это собака твоя, падла, наср@ла! 
— Ты что дебил? Она же плюшевая!!!"
77,"- Фу, небритый. Пойди побрейся потом в губы лезь целоваться! 
- Хи-хи-хи, щекотно! Там не целуй, идиот! 
- Фу, опять все ухо обслюнтявил! 
- Не целуй в шею, опять засос поставишь! 
- Не лапай за сиськи! Из-за твоих ручонок они уже и так обвисли! 
- Куда руками полез! Руками я и сама могу! 
- Куда членом лезешь! А прелюдия? 
- Куда рубашку кинул! Она же помнется, а я ее только погладила! 
- Такой большой, а презерватив одевать не умеешь... 
- Не сегодня, что-то голова болит... 
И другие фразы, которые женщины используют чтобы разжечь в мужчине огонь. А потом жаловаться подружке: 
- Знаешь в последнее время, что-то он меня совсем не удовлетворяет..."
78,"Дарагой, что ты в Масква видель! 
- Э-э-э, Масква, слушяй, хороший город. Кремль видэль, Лэнин видэль, балэт видель... 
- Гиви, расскажи, что такое балэт, а? 
- Э-э-э, балэт. Это такой балшой дом с колоннами. Заходишь- там всэ раздеваюцца. В зал праходишь - а там прэдставлэние. 
- А какое, дарагой? 
- Ну, сначала вибежяль на сцену один мужик и три баба. Мужик к адной падбежяль, ей ногу паднял, панюхал- нэ его. Кдругой падбежял, панюхал- нэ его. К трэтей падбежял, панюхал- его! Взвалил ее на плэчо, туда пабежял- нэгдэ эбать, сюда пабежял- нэгдэ эбать. Стал мужик с нэй пасреди сцены и плачет... А всэ со своих мест подорвалис и крычат, панимаеш: ""Э бис, э бис! "" А гдэ эбис, если нэгдэ..."
79,"Уезжает муж в командировку и говорит жене: — Дорогая, я знаю что ты без cекcа и 2-ух дней не протянешь, а мне надо ехать... И чтобы ты оставалась мне верна, я купил тебе этого вот робота. Жена: — Ты же знаешь я тебя люблю, не нужен мне робот... я не когда не изменю тебе... Муж: — Но все равно... Робот твой! Говориш ему ""Лелик, ко мне"" и он начинает тебя е*ать. Муж уехал, а жена все о этом Лелике думает... и наконец решается: — Лелик, ко мне! Подбегает робот, срывает с нее одежду, и начинает т*ахать. Т*ахает час, второй, третий, пятый. Жена уже не может продолжать, а как остановить его муж не сказал. И она через окно кричит дворнику: — Михалыч, скажи ""Лелик ко мне"", а я тебе бутылку водки! Михалыч: — А ну коли так... Лелик ко мне! ...АААА! Через 3 недели муж вернулся из командировки и видит такую картину: Окна, двери во всех домах открыты, людей нет, только дворник Михалыч стоит прижавшись к забору со спущиными штанами и с ружьем, нервно поглядывая по сторонам. Муж: — Привет, Михалыч, а где все? Михалыч: — Где все не заню... Но Лелик г д е т о рядом."
80,"Тётки окружили мужика толпой и кричат: 
- Я тебе покажу! 
- Я тебе дам! 
Мужик: 
- Даже и не знаю кого из вас выбрать..."
81,"Утро... Муж жене. . 
— Дорогая, сделай мне этот... . . ну как его... . ну этот. . , — Хорошо, любимый! Через некоторое время, довольный муж: 
— Да и фиг с ним, с этим кофе!"
82,"В электричке напротив мамы с пятилетней девочкой сидит мужчина с пышной, черной бородой. 
Девочка долго и пристально смотрит на него. 
Тот улыбнулся и спрашивает: "" 
— Что, на папу похож? 
Девочка обиженно : 
— Нет! На мамину письку! А папа у меня красивый!"
83,"Брошу пить, курить, @батся, буду спортом заниматся! 
Сигареты СПОРТ курить. 
Самогон спортивный пить. 
И на Бабах отжиматься, в общем спортом заниматься!!!"
84,"Маршрутка. Мама с ребенком лет 5. Ребёнок начинает читать стишок: 
- Мама спит, она устала... 
Мамаша, преисполненная гордости за ребёнка, расплывается в улыбке, ребёнок продолжает: 
- ...а у папы писька встала, чтобы письку опустить - надо маму разбудить."
85,"- А вы заметили, что самые ужасные слова кончаются на ""-льник"": начальник, будильник, понедельник? 
- Еб%льник, тоже бывает ужасен. 
- Ага, особенно у начальников в понедельник."
86,"Мужик заходит в бар вместе со своим десятилетним сыном и заказывает кружку пива. Сын спрашивает: 
– Папа, а можно и мне пива? 
– А ты сможешь достать своим концом до носа? 
– Нет. 
– Вот ты сам и ответил на свой вопрос. 
Через некоторое время мужик закуривает сигарету. Сын спрашивает: 
– Папа, а можно и мне покурить? 
– А ты сможешь достать своим концом до носа? 
– Нет. 
– Вот ты сам и ответил на свой вопрос. 
Затем они выходят из бара и видят лоток мгновенной лотереи. Отец покупает себе билет, стирает защитный слой – пусто. Сын спрашивает: 
– Папа, а можно и мне сыграть в лотерею. 
– Да, в лотерею можно. 
Сын покупает билет, стирает защитный слой… и выигрывает 500 000 рублей! 
Отец спрашивает: 
– Сынок, надеюсь, ты со мной поделишься? 
– Папа, а ты сможешь достать своим концом до носа? 
– Конечно, сынок! 
– Вот и отсоси сам у себя!"
87,"фразу ""прости меня"" чаще всего говорят люди, не виноватые ни в чем, 
они просто дорожат другими В ОТЛИЧИИ БЛ@ТЬ ОТ НЕКОТОРЫХ!"
88,"Отрывок из задания для 1 класса: 
«Ё__к от страха пытается съе__ться! ». 
Задание вставить слог « жи»."
89,"Грузин. Подошел к девушке и грит: 
— Дэвушка, у вас на жопэ мух. 
Девушка: 
— А че, ибет? 
— Да нэ, просто сидит..."
90,"Маленький мальчик разбил вазу, и, осознав, что ему все равно влетит, продал телевизор, накурился и вызвал шлюх"
91,"Гинеколог осматривает свою пациентку в кресле. Тут заходит его коллега и спрашивает: 
— Подскажи, где ты вчера тот классный коньяк купил? 
Гинеколог, не прекращая работы: 
— Сначала выходишь на проспект, потом сразу направо, затем на втором перекрестке налево, упираешься в клумбу, потом вокруг нее… 
Тут раздается сдавленный стон. Гинеколог поднимает взгляд к пациентке: 
— Вам плохо? 
— А? Нет, пожалуйста, еще-е раз вокруг клумбы"
92,"Заходит молодой человек в бар, садится за столик, выпивает. К нему подходят две симпатичные девушки: 
— Ой! Молодой человек, мы вас узнали! Вы — Сергей Есенин!!! 
— Да, я Сергей Есенин. 
— Ой, а вы могли бы прямо сейчас изобразить что-нибудь поэтическое? 
Есенин окидывает бар взглядом, замечает пьяного мужика, спящего на соседнем столе, и так пафосно выдает: 
— Лежит безжизненное тело на нашем жизненном пути!!! 
Мужик поднимает голову: 
— Тебе, м#&аmp;аmp;@к, какое дело? Бери бл@#$й и уходи!!! 
— Ладно, девченкики, пойдемте, это Пушкин!"
93,"Первый урок. Учительница знакомится с детьми: 
— Вовочка, а как твоя фамилия? 
— А фамилия у меня, Марьиванна, такая, что вы каждый день в рот берете. 
— Не дерзи, Х%%в! 
— Ошибаетесь. Ложкин!"
94,"- Папа, а как я появился на свет? 
— Тебя аист принес. 
— Ну ты даешь, папа! Вокруг так много красивых девушек, а ты аистов тр@хаешь!"
95,"Передаю привет всем, кто заеб@лся, и хочу сказать им — ребята, я с вами!"
96,"— Я на работу не выйду, у меня завтра ceкcуальный день. 
— Это как? 
— Еб@л я вас и вашу работу."
97,"В ceкc-шоп заходит дедок и обращается к продавщице: 
— Доченька, я недоволен своей половой жизнью, итогами Холодной войны и Перестройки. У вас есть надувной Горбачев?"
98,"— Ты че такой замученый? 
— Кот у меня падла, насерет посреди ковра, потом еще, с.ка, разгонится и жопой едет по дерьму, размазывает по ковру. Не могу отучить 
— А ты вместо ковра положи наждачку нулевку 
... 
— Ну как, отучил? 
— Отучил... Нулевку не нашел, положил 10-ку, до батареи одни уши доехали.."
99,"— Алло, Васю можно? 
— Пошел нах%й! 
— А, когда вернется?"
100,"Приходит бабка в дежурку: — Помогите, кошелек украли. — А где украли-то бабушка? — В поселке. — Это не к нам. Идите вы в ПОПу. — Куда-куда? 
— В поселковый отдел полиции. Приходит бабка куда ее послали: — Помогите, кошелек украли! — А где украли-то? -﻿ Да на вокзале. — Это не к нам, идите вы в ЖОПу. — Куда-куда? — В железнодорожный отдел полиции. 
— И где вас таким словам-то учат? — Где где... в... ... . В... Правительственном 
Институте Защитников Демократии..."
101,"Маленький мальчик спрашивает маму: 
- Мама, а когда я вырасту, у меня тоже будет две писи, как у папы? 
- Как это две? 
- Ну да. Одна маленькая, чтобы писать, а другая большая, чтобы чистить зубы нашей няне."
102,"Батюшка садится в такси. Едут. . налетают на кочку. Таксист. . Вот бл*! Батюшка сидит молчит. Опять налетают на кочку. Таксист... Да еб*ный насос! Батюшка сидит терпит. Едут дальше, попадают в яму. Таксист. . Да ну нах*й! Батюшка не выдерживает. Зачем так выражаешься сын мой? Скажи просто, Хвала Господу! И все будет хорошо. Таксист успокоился, едут дальше, и тут раз, колесом попадают в открытый люк. . колесо отрывается. Таксист. . Ааа, Хвала Господу! И тут колесо раз, и обратно прикручивается. Батюшка... 
Да нуу нах*й!!!"
103,"Парень пригласил к себе девушку. И трахнул ее. Она: 
- А еще разок можешь? 
- Могу, только ты должна сделать одну вещь.. 
- Какую? 
- Я сейчас 20 минут посплю, а ты все это время держись за мой член двумя руками? 
Он заснул, она держится за член, он ровно через 20 минут просыпается и опять засаживает ей. Она: 
- А еще раз сможешь? 
- Нефиг делать! Держись за член! А я посплю.. 
Он засыпает, она держит его за член двумя руками. Через 20 минут он просыпается и еще раз ее натягивает.. Она: 
- Слушай! А еще можешь? 
- Ну держись за член! 
- А нафига за член держаться? 
- Ну ты у меня в доме впервые, вдруг чего-нить сп*здишь.."
104,"Село у черта на куличках. Хата. В хате круто ругаются муж с женой. Муж 
не выдерживает и бросает топор в жену, стоящую у дверей. Она успевает 
отскочить, но в это время входит теща и топор ей прямо в голову! 
Мужик: Тоже не ху@во!"
105,"Зайцы... всё время прыгают, и живут 
всего 8 лет, собаки всё время бегают и 
живут около 15 лет, черепахи нихрена не 
делают и живут больше 150 лет... По 
этому идите-ка вы все на хрен со своими 
делами и заботами!!!"
106,"— Иван, после пол-литра работать сможешь? 
— Смогу. 
— А после литра? 
— Смогу. 
— А после двух? 
— Работать не смогу, но буду руководить!"
107,"Зайку бросила хозяйка.. 
холостым стал снова зайка... 
баб приводит... пиво пьет.... 
замечательно живет!"
108,"Завёлся в лесу зверёк по*бун. Всех затрахал все разбегаются. и вот лев издал указ - изловить супостата. 
Вся лесная братва вышла на поиски - изловили. Привели на суд. после недолгого разбирательства постановили - скормить его дракону. Прилетел дракон: большой такой, страшный, рычит, огнём дышит. Ведут к нему, значит, зверька, а он весь тресётся, дрожит. А дракон ему и говорит: 
- Что страшно тебя? 
- Да страшно. 
- А почему тебе страшно? 
- Первый раз такую скотину е@ть буду."
109,"Муж купил ботинки. Пришел домой, а никто не замечает. Пошел в ванну. 
Выходит голый в новых ботинках. 
- Папа, что это у тебя висит? - спрашивает маленькая дочка. 
- А это, дочка, указатель на ботинки. 
Жена: - Лучше бы ты шляпу купил!"
110,"Зайку бросила хозяйка.. 
холостым стал снова зайка... 
баб приводит... пиво пьет.... 
замечательно живет!"
111,"В городок приехал богатый турист. 
Оставив в залог $100 хозяину гостиницы, он поднялся посмотреть комнаты отеля. . . 
Хозяин гостиницы, не медля ни минуты, берёт купюру и бежит с ней к мяснику отдать долг. 
Мясник, с купюрой в руках, бежит к фермеру и отдаёт ему долг за говядину. 
Фермер отдает долг владельцу автомастерской. 
Владелец мастерской направляется в местный магазин и отдаёт долг за продукты. 
Хозяин магазина бегом к местной девочке по сопровождению, которая из-за кризиса ""обслуживала"" его в долг. . . Девочка сразу бежит к хозяину гостиницы и отдаёт ему долг за комнаты, которые она снимала для клиентов. 
В этот момент обратно спускается турист и говорит, что не нашёл подходящей комнаты, забирает залог и уезжает. . . 
Никто ничего не получил - но весь городок теперь живёт без долгов и с оптимизмом смотрит в будущее."
112,"Жена, игриво: 
- Вот и зима наступила, птички улетели на юг, зайчики меняют шубки... Дорогой, а я у тебя птичка или зайчик? 
Муж: 
- Ты у меня медвежонок. Они всю зиму проводят в постели и всё время что-то сосут."
113,"— Мамочка, а ангелы летают? 
— Да, доченька, летают. 
— А наш папа, назвал соседку ангелом, когда она полетит? 
— Минут через 10…"
114,"Приходит девственник в публичный дом и просит девочку. Мамка ему говорит: 
- Ты сходи в лес потренируйся на деревьях на дуплах, опыта наберешься. 
Приходит через 2 часа, дали ему девчонку, зашли в комнату разделись, она спрашивает: 
- Как хочешь? 
Он: 
- Мне без разницы. 
Она встает раком - он разбегается и всаживает ей сильного пендаля. 
Она: 
- Ты что творишь? 
Он: 
- А вдруг там пчелы!"
115,"Молодая пара, первая брачная ночь, оба не знают что делать. Парень берет сотку, звонит другу. 
Привет, что делать то? 
Ну вы в постели? 
Да! 
Она голая? 
Нет. 
Ну так раздевай ее и сам раздевайся. 
Раздел? 
Да! 
""Сосна"" стоит? 
Парень выглядывает в окно, на против окна стоит сосна. Тот стоит! 
Ну так залазь на нее!!! 
Парень голый выходит на улицу, залазиет на сосну. Все залез, что дальше? 
Раскачивайся! 
Парень начинает расскачиваться. 
Сломал? 
Нет! 
Сильнее раскачивайся!!! 
Сломал? 
Нет! 
Еще сильнее раскачивайся!!!! 
Тут ветка с хрустом ломается и парень летит в низ. 
Поднимает трубку и гордо СЛОМАЛ!!! 
Друг: Кровь пошла? 
Да, из уха! 
ФУ ТЫ ИЗВРАЩЕНЕЦ, НЕ ЗВОНИ МНЕ БОЛЬШЕ!!!"
116,"- Фу, небритый. Пойди побрейся потом в губы лезь целоваться! 
- Хи-хи-хи, щекотно! Там не целуй, идиот! 
- Фу, опять все ухо обслюнтявил! 
- Не целуй в шею, опять засос поставишь! 
- Не лапай за сиськи! Из-за твоих ручонок они уже и так обвисли! 
- Куда руками полез! Руками я и сама могу! 
- Куда членом лезешь! А прелюдия? 
- Куда рубашку кинул! Она же помнется, а я ее только погладила! 
- Такой большой, а презерватив одевать не умеешь... 
- Не сегодня, что-то голова болит... 
И другие фразы, которые женщины используют чтобы разжечь в мужчине огонь. А потом жаловаться подружке: 
- Знаешь в последнее время, что-то он меня совсем не удовлетворяет..."
117,"- Дарагой, что ты в Масква видель! 
- Э-э-э, Масква, слушяй, хороший город. Кремль видэль, Лэнин видэль, балэт видель... 
- Гиви, расскажи, что такое балэт, а? 
- Э-э-э, балэт. Это такой балшой дом с колоннами. Заходишь- там всэ раздеваюцца. В зал праходишь - а там прэдставлэние. 
- А какое, дарагой? 
- Ну, сначала вибежяль на сцену один мужик и три баба. Мужик к адной падбежяль, ей ногу паднял, панюхал- нэ его. Кдругой падбежял, панюхал- нэ его. К трэтей падбежял, панюхал- его! Взвалил ее на плэчо, туда пабежял- нэгдэ эбать, сюда пабежял- нэгдэ эбать. Стал мужик с нэй пасреди сцены и плачет... А всэ со своих мест подорвалис и крычат, панимаеш: ""Э бис, э бис! "" А гдэ эбис, если нэгдэ..."
118,"Брачная ночь. Молодая ненасытна. Один раз, другой, третий. Под утро жена задремала, а муж, шатаясь, идет в туалет. Пять минут его нет, десять... 
Жена просыпается и идет его искать. Видит, как тот шарит в трусах и шепчет: 
— Ну давай... вылезай... я тебе точно говорю, она спит."
119,"Уезжает муж в командировку и говорит жене: — Дорогая, я знаю что ты без cекcа и 2-ух дней не протянешь, а мне надо ехать... И чтобы ты оставалась мне верна, я купил тебе этого вот робота. Жена: — Ты же знаешь я тебя люблю, не нужен мне робот... я не когда не изменю тебе... Муж: — Но все равно... Робот твой! Говориш ему ""Лелик, ко мне"" и он начинает тебя е*ать. Муж уехал, а жена все о этом Лелике думает... и наконец решается: — Лелик, ко мне! Подбегает робот, срывает с нее одежду, и начинает т*ахать. Т*ахает час, второй, третий, пятый. Жена уже не может продолжать, а как остановить его муж не сказал. И она через окно кричит дворнику: — Михалыч, скажи ""Лелик ко мне"", а я тебе бутылку водки! Михалыч: — А ну коли так... Лелик ко мне! ...АААА! Через 3 недели муж вернулся из командировки и видит такую картину: Окна, двери во всех домах открыты, людей нет, только дворник Михалыч стоит прижавшись к забору со спущиными штанами и с ружьем, нервно поглядывая по сторонам. Муж: — Привет, Михалыч, а где все? Михалыч: — Где все не заню... Но Лелик г д е т о рядом."
120,"- Девушка, кто вы по профессии? 
- Даярка. 
- И что вы делаете? 
- Даю."
121,"- А мне Машка на День рождения секс подарила! 
- Фу, какая она не оригинальная - всем дарит одно и тоже!"
122,"Тётки окружили мужика толпой и кричат: 
- Я тебе покажу! 
- Я тебе дам! 
Мужик: 
- Даже и не знаю кого из вас выбрать..."
123,"Муж просыпается после жестокой пьянки, смотрит, белье постирано-поглажено, на стульчик повешено, на столе завтрак и бутылка пива. жена ушла на работу не сказав ни слова, без истерики. 
он к сыну: 
— сын что вчера было? 
— папа, ты пришел в два часа ночи пьяный в хлам, упал на кровать. а когда мама попыталась тебя раздеть ты сказал: не тронь, сука я женат!!!"
124,"Журналистка выясняет у фермера, в чем причина коровьего бешенства. 
Тот на нее пялится и говорит: 
- А вы знаете, что бык напрыгивает на корову раз в году? 
- Предположим... ну и при чем тут это? 
- А вы знаете, что мы доим коров ЧЕТЫРЕ раза в день? 
- Ценная информация, но... 
- Ну, вот если бы я мял ваши сиськи четыре раза в день, а тр@@ал бы раз в год, вы бы не взбесились?.."
125,"Утро... Муж жене. . 
— Дорогая, сделай мне этот... . . ну как его... . ну этот. . , — Хорошо, любимый! Через некоторое время, довольный муж: 
— Да и фиг с ним, с этим кофе!"
126,"— Секс по телефону. Я исполню все ваши желания! 
— Люсь, это я... Хлеба домой купи...
--------
Будущее. 
Внук спрашивает: 
- Деда, а как вы с бабушкой познакомились? 
Дед: 
- Ну, это было ещё до Первого Обнуления..."
127,"— Абрам, вы слыхали, что коронавирус к детям не липнет? Как думаете, почему? 
— Таки все просто, Йося: дети не читают новостей
--------
— Дорогая, давай обнулим наши отношения! 
— Забудем все обиды и прошлое? 
— Забудем, что знаем друг друга."
128,"ВЦИОМ: 72% граждан РФ готовы поддержать внесение в Конституцию поправок, смысла которых не понимает 77% граждан РФ.
--------
Еврейская семья сидит на кухне, пьет чай. 
Над столом висит лампочка, а к лампочке привязан кусочек сахара. 
Папа делает глоток и смотрит на сахар. 
Мама делает глоток и смотрит на сахар. 
Дочь делает глоток и смотрит на сахар. 
Маленький сынишка делает глоток и смотрит... смотрит... смотрит... 
Вдруг папаша дает ему леща со словами: 
— Слишком сладкий чай пьешь, сынок..."
129,"Сообщают, что Терешковой поступает много просьб от трудящихся, по предложению срочно ввести в РФ крепостное право.
--------
Ребят, а кроме коронавируса и обнуления, в мире вообще что-нибудь происходит?"
130,"Напала на Русь сила темная,пришли ходоки к Илье Муромцу. 
- Помоги, отец родной, защити. 
- Надо подумать. 
- А сколько думать? 
- Ну неделю. 
Пошли ходоки к Добрыне. 
- Помоги, Добрынюшка 
- Надо подумать. 
- А сколько думать-то? 
- Дня три. 
Пришли ходоки к Алеше Поповичу. 
- Беда, выручай, отец 
Богатырь как гаркнет: 
- Коня мне, кольчугу, меч! 
- А что, Алешенька, и думать не будешь? 
- А че тут думать, съе6...ться надо!
--------
Когда на Западе говорили, что власть Путина держится на чудовищных бабках, я и представить себе не мог лицо Терешковой."
131,"Возле кабака трое отловили пьяненького мужичка: 
- Бабки гони! 
- Нет проблем! 
Лезет в карман, достает оттуда ствол: 
- Легли! 
Легли. 
- И поплыли за мной! 
Двигаются на брюхе, изображая плаванье. 
Один из ""плывущих"" не выдерживает: 
- Ну ты дурной! 
- Че так? 
- Дык кто ж на асфальте плавает? 
- Рот закрой, а то нырять будешь!!!
--------
— Мужик читает газету объявлений. Видит: Продается говорящая собака! 
Дай думаю брякну. Звонит 
— У вас продается говорящая собака? 
— Да 
— Че правда говорящая? 
— Ну да, приезжай сам посмотришь! 
Через пару часиков приезжает к нему.. Где то на чкалова, падзик убитый, 5 этаж Открывает дверь мужик 
— У вас собака продается говорящая? 
— ну да да ну вы проходите, я пока на кухню, а вот она как раз она идет, сама и расскажет... 
... Собака встает, говорит: 
— Ну давайте чтобы время не тратить, коротко расскажу: 
В 80-х были научные исследования, некоторые из моего помета научились говорить по немецки.. Началась карьера... Нас послали служить в немецкое посольство... Мы же понимали все, передавали информацию... Вобщем все было хорошо. Патом Перестройка... Работал в охране... И вот судьба занесла сюда... 
... 
Тут мужик возвращается с кухни! 
— За сколько продаешь та? 
— Скока не жалко 
— Ну как?! Эта же говорящая собака? Ей цены нет! 
Мужик: 
— Да мне кажется она все п@здит!"
132,"Приходит к врачу мужик, и говорит: 
— Доктор, когда я играю на скрипке, у меня член встает. Что это такое со мной? 
Доктор долго осматривал пациента, но ничего не нашел. Тогда он говорит: 
— Приходите завтра со скрипкой, и посмотрим. 
На следующий день приходит пациент со скрипкой. Снимает штаны и начинает играть. У него сразу встает член, а следом и у доктора. 
Пациент спрашивает: 
— Ну что это, доктор? 
— По-моему, у Вас музыка п@здатая!
--------
Встречаются два рыбака. Один другому: 
- Вчера сидел на берегу, поймал золотую рыбку, та говорит: отпусти меня, я исполню любое твоё желание?, я думал, думал, вроде всё есть, и прошу её - сделай так, чтобы я с женой кончал одновременно! 
- И что дальше было? 
- Что, что, пока сидел рыбачил - три раза кончил!!!"
133,"Два состарившихся футболиста договорились: кто первый умрет, сообщить другому, есть ли на небесах футбол. И вот один из них отправился на тот свет. Через три дня вышел на связь с другом. 
- Дружище, у меня для тебя две новости: одна хорошая, другая плохая. 
- Говори сначала хорошую. 
- В футбол здесь играют. 
- А какая же плохая? 
- Игра в ближайшую пятницу, ты в основном составе.
--------
Москва. Недавнее время. Армянин ловит машину. Подъезжает ""копейка"". 
Армянин: 
— Проэзжай! 
Подъезжает ""москвич"": 
— Проэзжай! 
Подъезжает ""волга"". Армянин садится в машину. 
— Ара, тэбя как зовут, э-ээ? 
Водитель: 
— Виталий. 
— Слюшай мэня Виталий! Сейчас падъедим к гостинице, там мэне будет ждать дэвушка... Ты скажешь: ""Шеф я свободен?"" А я скажу: ""Да Виталий, ти свободэн!"" Ти скажешь: ""Шеф, дай 100 руб. на бензин."" Так ми и расплатимься! Понял?! 
Виталик отвечает: 
— Понял, нет проблем! 
Подъезжают к гостинице. Армянин вышел, поцеловал девушку... Водила: 
— Шеф, я свободен? 
Армянин: 
— Да, Виталий, ты свободен. 
Водитель: 
— Шеф дай 1500 руб., а то что-то движок барахлит, надо на сервис загнать... 
Армянин: 
— хмммм... МАЛАДЕЦ, бл...ть, Виталик!"
134,"Вовочка сидит на уроке и щелкает шариковой ручкой. Учительница делает ему замечание: 
- Вовочка, чем это ты занимаешься? Ты нам мешаешь. 
- Да вот, Марья Ивановна, не пойму: ручка женского рода, стержень мужского, а почему же у них детей нет? 
- Немедленно встань и отправляйся за отцом! 
Вовочка приходит домой и говорит отцу, что того вызывают в школу. 
- А в чем дело? - интересуется отец. 
- Да вот, спросил Марью Ивановну: ручка женского рода, стержень мужского, а детей почему-то нет! 
Отец разобрал ручку, посмотрел и отвечает: 
- Ну и дурные же у тебя учителя - здесь же спираль стоит!
--------
Заходят мужик с женой и пятеро детей в маршрутку, а следом за ними дед с тросточкой. Семейство заняло все оставшиеся ""сидячие"" места (каждый отдельное), дедуле не хватило. Маршрутка тронулась, дед стоит, а тросточка, подскакивая на колдобинах: ""Цок-цок, Цок-цок, Цок-цок"". Глава семейства ехидно замечает старику: 
– Папаша, ты бы надел на палку резинку, она б не цокотела... 
– А если б ты, сынок, резинку надел, мы бы все поместились!"
